State_Name,Year,Active_Listings
KY,2018,15210.066666666666
KY,2019,14559.074747474748
KY,2020,11139.219985569986
KY,2021,9410.50707070707
KY,2022,9242.249494949496
KY,2023,8669.377272727274
KY,2024,9427.0898989899
LA,2018,21415.50634920635
LA,2019,20602.448484848486
LA,2020,16435.600505050505
LA,2021,12591.824134199134
LA,2022,11823.503535353535
LA,2023,13964.327777777777
LA,2024,16471.48383838384
MA,2018,24031.733333333334
MA,2019,24018.2
MA,2020,18757.916666666668
MA,2021,15308.363636363636
MA,2022,14113.613636363636
MA,2023,11679.181818181818
MA,2024,12858.234848484848
MD,2018,16681.922222222223
MD,2019,15420.104545454546
MD,2020,11478.219696969698
MD,2021,9586.6
MD,2022,8583.681818181818
MD,2023,7156.940909090909
MD,2024,7719.421212121212
ME,2018,5536.477777777778
ME,2019,5461.416666666667
ME,2020,4159.825757575758
ME,2021,2923.439393939394
ME,2022,2441.4166666666665
ME,2023,2206.1666666666665
ME,2024,2572.083333333333
MI,2018,42591.572222222225
MI,2019,41765.13787878788
MI,2020,33313.356060606064
MI,2021,27996.36212121212
MI,2022,27101.11212121212
MI,2023,23234.37932900433
MI,2024,23570.313636363637
MN,2018,22690.744444444445
MN,2019,21355.273232323234
MN,2020,18333.35404040404
MN,2021,15417.875757575755
MN,2022,14174.916161616162
MN,2023,12272.123737373737
MN,2024,13625.153823953824
MO,2018,38380.65555555555
MO,2019,33723.95909090909
MO,2020,26563.8202020202
MO,2021,21072.350757575758
MO,2022,19714.681818181816
MO,2023,18106.11544011544
MO,2024,19111.28888888889
MS,2018,10805.684523809525
MS,2019,10220.84696969697
MS,2020,8396.367243867244
MS,2021,6549.560606060606
MS,2022,6107.428282828282
MS,2023,6495.225865800866
MS,2024,7186.6497474747475
MT,2018,5531.977777777778
MT,2019,5290.286363636364
MT,2020,3949.7954545454545
MT,2021,2621.2757575757573
MT,2022,2824.416666666667
MT,2023,3220.9287878787877
MT,2024,3676.166666666667
NC,2018,49081.00833333333
NC,2019,43739.55909090909
NC,2020,33721.03787878788
NC,2021,27812.467676767676
NC,2022,28738.235353535354
NC,2023,28664.058585858584
NC,2024,32702.596464646464
ND,2018,3812.133333333333
ND,2019,3603.8939393939395
ND,2020,2996.587121212121
ND,2021,2194.359090909091
ND,2022,1870.9015151515152
ND,2023,1660.9722222222224
ND,2024,1814.9469696969695
NE,2018,6460.646031746031
NE,2019,6143.615151515151
NE,2020,4685.625505050505
NE,2021,3953.230555555556
NE,2022,3825.201515151515
NE,2023,3637.6007575757576
NE,2024,4057.3545454545456
NH,2018,6763.977777777778
