State_Name,Year,Median_Rent_Price
IA,2018,908.0189520416898
IA,2019,925.0789085240082
IA,2020,944.5091149157845
IA,2021,956.3186002403862
IA,2022,998.2544639845879
IA,2023,1049.4148766853793
IA,2024,1084.1442166620009
ID,2018,1014.9720593258465
ID,2019,1088.580524322166
ID,2020,1175.7553575480822
ID,2021,1308.8744251253806
ID,2022,1389.8457863815863
ID,2023,1409.775116447526
ID,2024,1357.441014824524
IL,2018,831.3650235997923
IL,2019,857.0701491932501
IL,2020,884.206148762953
IL,2021,947.8399670927897
IL,2022,998.6332004462723
IL,2023,1047.167519013437
IL,2024,1067.352937297042
IN,2018,807.8901255158793
IN,2019,842.8611897291174
IN,2020,880.0444074261329
IN,2021,928.4354991530632
IN,2022,991.208952269616
IN,2023,1051.0103949105944
IN,2024,1092.1966686223893
KS,2018,797.1392671548562
KS,2019,816.2933944836745
KS,2020,843.3478960576983
KS,2021,887.795733120012
KS,2022,961.5452484293844
KS,2023,964.8648128617515
KS,2024,1015.9562394334528
KY,2018,919.5603256399844
KY,2019,882.1136669230939
KY,2020,876.0636208473891
KY,2021,938.0429230962076
KY,2022,1045.706699692461
KY,2023,1124.1908882351872
KY,2024,1163.9809274081822
LA,2018,1042.2767607159735
LA,2019,1048.295435765383
LA,2020,1065.195731316018
LA,2021,1108.8136601443841
LA,2022,1120.0019642853774
LA,2023,1115.7395999658847
LA,2024,1143.3951098368225
MA,2018,1568.213252934629
MA,2019,1621.1847612303845
MA,2020,1706.9585951947822
MA,2021,1688.799497365845
MA,2022,1868.453787754495
MA,2023,2013.4270783405732
MA,2024,2120.9770387050107
MD,2018,1207.7390950997483
MD,2019,1242.0097343323453
MD,2020,1293.9731774874442
MD,2021,1425.9348205461454
MD,2022,1542.002996347396
MD,2023,1405.78658746695
MD,2024,1482.0312791333192
ME,2018,1049.4864080728864
ME,2019,1100.7547619642958
ME,2020,1175.281001943714
ME,2021,1310.9178664340052
ME,2022,1412.1722634841224
ME,2023,1493.237657855954
ME,2024,1576.6395280644424
MI,2018,958.0922293918388
MI,2019,999.7696639808132
MI,2020,1041.139621939554
MI,2021,1073.9851889419215
MI,2022,1184.7766448496461
MI,2023,1221.7977170180543
MI,2024,1276.602254207036
MN,2018,1091.350828416303
MN,2019,1128.1640294678582
MN,2020,1160.332729693891
MN,2021,1213.8217800021525
MN,2022,1216.3703233730932
MN,2023,1183.435476159184
MN,2024,1256.491151715072
MO,2018,826.5663440588793
MO,2019,859.0349810337784
MO,2020,898.6381417360672
MO,2021,927.2092819919046
MO,2022,991.620775212289
MO,2023,982.8101174619648
MO,2024,1029.39603018145
MS,2018,965.269668744719
MS,2019,992.8068670440832
MS,2020,1039.9222944574826
MS,2021,1218.049826480829
MS,2022,1280.1530334453355
MS,2023,1354.036905956637
MS,2024,1405.1741343587644
MT,2018,876.3485411741291
MT,2019,908.9624238553021
MT,2020,957.6459434490827
MT,2021,1287.6792950850113
MT,2022,1573.2114674968682
MT,2023,1509.8646948985386
MT,2024,1560.380045341743
NC,2018,1027.0010169602208
NC,2019,1080.874837305653
NC,2020,1130.9418918657104
NC,2021,1245.8918939574085
NC,2022,1373.7911145133737
NC,2023,1420.717208303937
NC,2024,1447.3463363607304
ND,2018,868.3275522565411
ND,2019,886.5318529587505
ND,2020,861.6865702506321
ND,2021,891.5089431828352
ND,2022,937.2306039898169
ND,2023,1028.6184723222061
ND,2024,1048.5521592326618
NE,2018,916.4889530472649
NE,2019,944.3208737361612
NE,2020,981.6349622034122
NE,2021,946.7583352667316
NE,2022,1022.2057548840899
NE,2023,1091.9728228096344
NE,2024,1207.4063775223844
NH,2018,1165.121518736161
NH,2019,1225.8132527146684
NH,2020,1313.0303409958365
NH,2021,1451.0832780975625
NH,2022,1609.8878567814677
NH,2023,1720.6206563272947
